iter	Passed	Remaining
0	0	61
1	1	57
2	1	57
3	2	55
4	2	53
5	3	55
6	4	54
7	4	52
8	5	52
9	5	51
10	6	51
11	6	50
12	7	49
13	7	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	46
19	11	45
20	11	44
21	12	44
22	13	43
23	13	43
24	14	42
25	14	42
26	15	41
27	15	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	22	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	30	25
54	30	24
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
